global_task_id,init_state_id,teacher_demo,arm,family,layer,original_delta_norm,projected_delta_norm,candidate_delta_norm,candidate_to_original_norm_ratio,rho,alpha,b_projection_relative_l2,finite
31,0,0,SELF,q_b,0,32.56375944395314,32.563756326104574,32.563756326104574,0.9999999042540353,0.0004375978993420182,0.9999999042540353,0.0015609651362767359,True
31,0,0,SELF,q_b,1,29.930073457570877,29.930070479350572,29.930070479350572,0.999999900494053,0.00044610748251049743,0.999999900494053,0.0015669350107121733,True
31,0,0,SELF,q_b,2,29.714169042354555,29.71416589367369,29.71416589367369,0.9999998940343625,0.00046035993015959055,0.9999998940343625,0.0015549557944356158,True
31,0,0,SELF,q_b,3,32.062990240881845,32.062986981088244,32.062986981088244,0.9999998983315787,0.00045092885712092303,0.9999998983315787,0.0015617134293253443,True
31,0,0,SELF,q_b,4,31.64713973248647,31.647136637701777,31.647136637701777,0.9999999022096556,0.0004422450464879057,0.9999999022096556,0.001567348783113554,True
31,0,0,SELF,q_b,5,30.789455374499465,30.789452285271203,30.789452285271203,0.999999899666031,0.00044795974053988093,0.999999899666031,0.0015714473811927969,True
31,0,0,SELF,q_b,6,31.980807062114387,31.980803847186458,31.980803847186458,0.9999998994732083,0.00044838998049360796,0.9999998994732083,0.001569830659418787,True
31,0,0,SELF,q_b,7,32.130967146637914,32.130963863251246,32.130963863251246,0.9999998978123922,0.0004520787614191837,0.9999998978123922,0.001561974894848014,True
31,0,0,SELF,q_b,8,33.27046652982146,33.270462968886584,33.270462968886584,0.9999998929700948,0.00046266597026401823,0.9999998929700948,0.001567591810565416,True
31,0,0,SELF,q_b,9,32.953553361324275,32.95355013588408,32.95355013588408,0.9999999021216267,0.0004424440505521149,0.9999999021216267,0.001556693650969047,True
31,0,0,SELF,q_b,10,33.439253829956506,33.43925043817018,33.43925043817018,0.9999998985687196,0.00045040265419193156,0.9999998985687196,0.0015502323889516035,True
31,0,0,SELF,q_b,11,29.059450909552076,29.059447599304242,29.059447599304242,0.999999886087048,0.00047731110619964653,0.999999886087048,0.0015636078079427254,True
31,0,0,SELF,q_b,12,34.05379657502026,34.053793404407315,34.053793404407315,0.9999999068939953,0.0004315228862059566,0.9999999068939953,0.001553410266507569,True
31,0,0,SELF,q_b,13,33.91855022510922,33.91854680810317,33.91854680810317,0.9999998992584875,0.0004488685949063148,0.9999998992584875,0.0015672845707797353,True
31,0,0,SELF,q_b,14,34.500204053978706,34.50020090998946,34.50020090998946,0.9999999088704159,0.00042691821287621273,0.9999999088704159,0.0015609790639881183,True
31,0,0,SELF,q_b,15,30.24353776859819,30.243534837063468,30.243534837063468,0.9999999030690541,0.00044029749486894685,0.9999999030690541,0.0015608441647674213,True
31,0,0,SELF,q_b,16,32.030326941419354,32.030323804179076,32.030323804179076,0.9999999020540663,0.00044259672276560297,0.9999999020540663,0.0015621659642337,True
31,0,0,SELF,q_b,17,31.84777941358485,31.84777644914709,31.84777644914709,0.9999999069185415,0.000431466000512941,0.9999999069185415,0.0015346637954901244,True
31,0,0,SELF,v_b,0,15.394937851992742,15.39493759222119,15.39493759222119,0.9999999831261708,0.0001837053507062477,0.9999999831261708,0.0006463570638247291,True
31,0,0,SELF,v_b,1,14.76757206154702,14.767571841177299,14.767571841177299,0.9999999850774576,0.00017275729246272873,0.9999999850774576,0.0006704276069398849,True
31,0,0,SELF,v_b,2,14.46381815856164,14.463817987718887,14.463817987718887,0.9999999881882673,0.00015369926186016228,0.9999999881882673,0.0006350890158047414,True
31,0,0,SELF,v_b,3,15.093995098592481,15.093994918392196,15.093994918392196,0.9999999880614586,0.00015452210228909523,0.9999999880614586,0.0006951601808630766,True
31,0,0,SELF,v_b,4,16.052363089261668,16.052362846881945,16.052362846881945,0.9999999849006828,0.00017377753576906262,0.9999999849006828,0.0006370316121571023,True
31,0,0,SELF,v_b,5,14.90661463876152,14.906614422027888,14.906614422027888,0.9999999854605732,0.00017052521969013,0.9999999854605732,0.0006485273734832498,True
31,0,0,SELF,v_b,6,15.45336767599881,15.453367437391353,15.453367437391353,0.9999999845595172,0.00017572980081653977,0.9999999845595172,0.0006586561531663126,True
31,0,0,SELF,v_b,7,14.990586609149874,14.990586296481194,14.990586296481194,0.9999999791423319,0.0002042433192810111,0.9999999791423319,0.0006812714171336134,True
31,0,0,SELF,v_b,8,15.608874284882367,15.60887402219718,15.60887402219718,0.9999999831707794,0.00018346236277991173,0.9999999831707794,0.0006418375956980548,True
31,0,0,SELF,v_b,9,15.258661271285124,15.25866109365887,15.25866109365887,0.9999999883589883,0.00015258447171933491,0.9999999883589883,0.000666772250155465,True
31,0,0,SELF,v_b,10,15.455911773305976,15.45591146723608,15.45591146723608,0.999999980197228,0.00019901141081121398,0.999999980197228,0.0006671929897926931,True
31,0,0,SELF,v_b,11,14.124835518505302,14.124835104189708,14.124835104189708,0.9999999706675811,0.00024220824678516733,0.9999999706675811,0.0006609800251781817,True
31,0,0,SELF,v_b,12,15.415130781957497,15.41513057124567,15.41513057124567,0.9999999863308441,0.00016534300509770747,0.9999999863308441,0.0006193265690525371,True
31,0,0,SELF,v_b,13,15.574468928071834,15.574468634892874,15.574468634892874,0.9999999811756689,0.00019403262499961574,0.9999999811756689,0.0006506034741500252,True
31,0,0,SELF,v_b,14,15.576424792855464,15.576424534239067,15.576424534239067,0.9999999833969347,0.0001822254870327685,0.9999999833969347,0.0006204632126312133,True
31,0,0,SELF,v_b,15,14.748331679051883,14.748331515857469,14.748331515857469,0.9999999889347203,0.00014876342681897702,0.9999999889347203,0.0006455868078199856,True
31,0,0,SELF,v_b,16,15.060610337519691,15.06061010617899,15.06061010617899,0.9999999846393541,0.00017527489544873513,0.9999999846393541,0.0006701549354606884,True
31,0,0,SELF,v_b,17,14.855473793566217,14.855473548393812,14.855473548393812,0.9999999834961572,0.00018168016691062113,0.9999999834961572,0.0006441060338040447,True
31,1,1,SELF,q_b,0,31.873082977488558,31.873080087702604,31.873080087702604,0.9999999093345957,0.00042582954498385505,0.9999999093345957,0.0015388996458012138,True
31,1,1,SELF,q_b,1,28.681706840060883,28.681703667589826,28.681703667589826,0.999999889390437,0.00047033936183399393,0.999999889390437,0.0015550934730519607,True
31,1,1,SELF,q_b,2,28.523950708461676,28.523947733249464,28.523947733249464,0.9999998956942451,0.00045674007922041817,0.9999998956942451,0.001548818220950252,True
31,1,1,SELF,q_b,3,31.20526965127699,31.20526659226792,31.20526659226792,0.9999999019713945,0.00044278347127538713,0.9999999019713945,0.001551814053382593,True
31,1,1,SELF,q_b,4,29.994141141932708,29.994137980621876,29.994137980621876,0.9999998946023886,0.0004591243989146963,0.9999998946023886,0.0015605750708350195,True
31,1,1,SELF,q_b,5,28.986378133226303,28.98637542336883,28.98637542336883,0.9999999065127261,0.0004324055280927328,0.9999999065127261,0.0015714761304503463,True
31,1,1,SELF,q_b,6,30.44114701328104,30.44114375471499,30.44114375471499,0.9999998929552146,0.00046269813121237456,0.9999998929552146,0.001571201782124664,True
31,1,1,SELF,q_b,7,31.365748108438165,31.365744922621793,31.365744922621793,0.999999898430085,0.0004507103515513951,0.999999898430085,0.0015652474849760073,True
31,1,1,SELF,q_b,8,32.445408926987746,32.44540585846669,32.44540585846669,0.9999999054251077,0.0004349135277115889,0.9999999054251077,0.0015586134541165752,True
31,1,1,SELF,q_b,9,32.53399360260183,32.533990404168996,32.533990404168996,0.9999999016895105,0.0004434196322632595,0.9999999016895105,0.0015445922848200686,True
31,1,1,SELF,q_b,10,32.30861671390673,32.30861351832079,32.30861351832079,0.9999999010918367,0.00044476546387766096,0.9999999010918367,0.0015585303718151481,True
31,1,1,SELF,q_b,11,28.78629723897578,28.78629373668233,28.78629373668233,0.9999998783347014,0.0004932854993953626,0.9999998783347014,0.0015751054462532516,True
31,1,1,SELF,q_b,12,32.54031390147771,32.5403108424479,32.5403108424479,0.9999999059926152,0.0004336066900068796,0.9999999059926152,0.0015572892533461087,True
31,1,1,SELF,q_b,13,32.52613080380118,32.52612779587688,32.52612779587688,0.9999999075228371,0.00043006315598887156,0.9999999075228371,0.0015436672308689703,True
31,1,1,SELF,q_b,14,33.189130175019336,33.189126755976964,33.189126755976964,0.9999998969830678,0.00045390952223177704,0.9999998969830678,0.001542356181085387,True
31,1,1,SELF,q_b,15,29.111231023028935,29.111227571421068,29.111227571421068,0.9999998814338059,0.0004869623964683773,0.9999998814338059,0.0015812505890568037,True
31,1,1,SELF,q_b,16,31.150006870480144,31.150003936692325,31.150003936692325,0.9999999058174263,0.0004340105295971955,0.9999999058174263,0.0015485131054462763,True
31,1,1,SELF,q_b,17,30.923707259597602,30.92370423493503,30.92370423493503,0.9999999021895225,0.00044229056800179146,0.9999999021895225,0.0015564961557343964,True
31,1,1,SELF,v_b,0,15.166146998634412,15.166146850148948,15.166146850148948,0.9999999902094142,0.00013993273220942848,0.9999999902094142,0.0006592101638962552,True
31,1,1,SELF,v_b,1,14.4016604161957,14.401660186703088,14.401660186703088,0.9999999840648505,0.00017852253785323832,0.9999999840648505,0.0006794701385856127,True
31,1,1,SELF,v_b,2,14.356420831566531,14.356420642039621,14.356420642039621,0.9999999867984568,0.00016249025969127033,0.9999999867984568,0.0006595319615862478,True
31,1,1,SELF,v_b,3,14.878493426391788,14.878493191718443,14.878493191718443,0.9999999842273448,0.00017760998790655345,0.9999999842273448,0.0006890395329751012,True
31,1,1,SELF,v_b,4,15.506583269493822,15.506583048991,15.506583048991,0.9999999857800511,0.000168641319595895,0.9999999857800511,0.0006579881205985724,True
31,1,1,SELF,v_b,5,14.57152715488746,14.571526837747305,14.571526837747305,0.9999999782356267,0.0002086354323604333,0.9999999782356267,0.0006479603565722824,True
31,1,1,SELF,v_b,6,14.91819203409838,14.918191848318763,14.918191848318763,0.999999987546774,0.00015781777440653682,0.999999987546774,0.0006430985273227585,True
31,1,1,SELF,v_b,7,14.909227167335677,14.90922701612523,14.90922701612523,0.9999999898579286,0.00014242240221839055,0.9999999898579286,0.0006352208500515301,True
31,1,1,SELF,v_b,8,15.386686439185317,15.38668613116444,15.38668613116444,0.9999999799813379,0.0002000932820865944,0.9999999799813379,0.0006786831741540909,True
31,1,1,SELF,v_b,9,15.33645585441778,15.33645560444516,15.33645560444516,0.999999983700757,0.00018055050111984066,0.999999983700757,0.0006657089940193434,True
31,1,1,SELF,v_b,10,15.418747383293653,15.418747138118976,15.418747138118976,0.9999999840989238,0.00017833157383581038,0.9999999840989238,0.0006338497089162858,True
31,1,1,SELF,v_b,11,13.94051805603616,13.940517642705537,13.940517642705537,0.9999999703504115,0.00024351421708980098,0.9999999703504115,0.0006610469764790131,True
31,1,1,SELF,v_b,12,15.401197713099718,15.401197446243703,15.401197446243703,0.9999999826730349,0.0001861556541589823,0.9999999826730349,0.0006256467640982061,True
31,1,1,SELF,v_b,13,15.412803213763748,15.412802958821638,15.412802958821638,0.9999999834590693,0.00018188419172658184,0.9999999834590693,0.0006247090415739259,True
31,1,1,SELF,v_b,14,15.276707788549603,15.276707548885982,15.276707548885982,0.9999999843118279,0.00017713368328405867,0.9999999843118279,0.0006251255612564008,True
31,1,1,SELF,v_b,15,14.497317196860152,14.497317083864571,14.497317083864571,0.9999999922057592,0.000124853831904101,0.9999999922057592,0.0006526659126791827,True
31,1,1,SELF,v_b,16,14.899225343217925,14.899225127643708,14.899225127643708,0.9999999855311795,0.00017011066661904738,0.9999999855311795,0.000673190350995256,True
31,1,1,SELF,v_b,17,14.62609271475078,14.62609249579498,14.62609249579498,0.9999999850297818,0.00017303304327473867,0.9999999850297818,0.0006359259005003521,True
