a_grad_norm,asset,auxiliary_grad_norm,auxiliary_gradient_definition,auxiliary_loss,batch_index,component,cosine,dot,global_task_id,group,joint_grad_norm,linearity_max_abs,main_grad_norm,main_loss,occurrence,other_batch_index,parameter_count,parameter_groups,q_a_cosine,q_a_dot,q_grad_norm,record,teacher_demo,window
,C600,0.06829716944255436,native_joint_vjp_minus_main_vjp,0.03725222125649452,1,,,,34,,0.20341145295808055,2.3283064365386963e-10,0.15686911464310968,0.0963167633329119,67,,,"{""action_meta"":144,""compiler"":25,""factor_heads"":16,""procedure"":42,""semantic_core"":30,""text_meta"":144,""vl_meta"":144}",,,,draw,26,B4
,C600,0.3322906485326079,native_joint_vjp_minus_main_vjp,0.07917170971632004,1,,,,12,,0.4390715437933996,2.3283064365386963e-10,0.21603507529240004,0.06708956545307523,67,,,"{""action_meta"":144,""compiler"":25,""factor_heads"":16,""procedure"":42,""semantic_core"":30,""text_meta"":144,""vl_meta"":144}",,,,draw,15,B4
,C600,0.1711884192686318,native_joint_vjp_minus_main_vjp,0.057594459503889084,1,,,,38,,0.3101431790172559,2.3283064365386963e-10,0.26946187730134974,0.11818187719299679,67,,,"{""action_meta"":144,""compiler"":25,""factor_heads"":16,""procedure"":42,""semantic_core"":30,""text_meta"":144,""vl_meta"":144}",,,,draw,20,B4
,C600,0.026120025141958773,native_joint_vjp_minus_main_vjp,0.01563706435263157,1,,,,64,,0.08189157291997748,2.3283064365386963e-10,0.07991941526729804,0.0978290027096158,67,,,"{""action_meta"":144,""compiler"":25,""factor_heads"":16,""procedure"":42,""semantic_core"":30,""text_meta"":144,""vl_meta"":144}",,,,draw,43,B4
,C600,0.06231696532032465,native_joint_vjp_minus_main_vjp,0.05137692764401436,2,,,,101,,0.07242370009844401,2.3283064365386963e-10,0.05037863488159843,0.057973376519623254,67,,,"{""action_meta"":144,""compiler"":25,""factor_heads"":16,""procedure"":42,""semantic_core"":30,""text_meta"":144,""vl_meta"":144}",,,,draw,34,B36_component
,C600,0.2226191667641182,native_joint_vjp_minus_main_vjp,0.05248537287116051,2,,,,20,,0.40788754835842383,2.3283064365386963e-10,0.31683591267261496,0.11472225189208984,67,,,"{""action_meta"":144,""compiler"":25,""factor_heads"":16,""procedure"":42,""semantic_core"":30,""text_meta"":144,""vl_meta"":144}",,,,draw,4,B36_component
,C600,0.42085174850155066,native_joint_vjp_minus_main_vjp,0.08081027865409851,2,,,,19,,0.5318508050081698,2.3283064365386963e-10,0.23580154062107578,0.10922307804936454,67,,,"{""action_meta"":144,""compiler"":25,""factor_heads"":16,""procedure"":42,""semantic_core"":30,""text_meta"":144,""vl_meta"":144}",,,,draw,34,B36_component
,C600,0.2938833479895167,native_joint_vjp_minus_main_vjp,0.08704148232936859,2,,,,32,,0.4435719309312108,2.3283064365386963e-10,0.2606515983595553,0.10699641633601414,67,,,"{""action_meta"":144,""compiler"":25,""factor_heads"":16,""procedure"":42,""semantic_core"":30,""text_meta"":144,""vl_meta"":144}",,,,draw,21,B36_component
,C600,0.06410690964347016,native_joint_vjp_minus_main_vjp,0.04444589093327522,3,,,,96,,0.09488729696415069,2.3283064365386963e-10,0.083253776103427,0.08099528756879625,67,,,"{""action_meta"":144,""compiler"":25,""factor_heads"":16,""procedure"":42,""semantic_core"":30,""text_meta"":144,""vl_meta"":144}",,,,draw,36,B36_component
,C600,0.10767510988610565,native_joint_vjp_minus_main_vjp,0.07953137904405594,3,,,,37,,0.25475067814371205,2.3283064365386963e-10,0.21627510381972812,0.11504305650790532,67,,,"{""action_meta"":144,""compiler"":25,""factor_heads"":16,""procedure"":42,""semantic_core"":30,""text_meta"":144,""vl_meta"":144}",,,,draw,39,B36_component
,C600,0.14717036317161997,native_joint_vjp_minus_main_vjp,0.03762245923280716,3,,,,14,,0.20964074053106577,2.3283064365386963e-10,0.19857221712786396,0.07453941678007443,67,,,"{""action_meta"":144,""compiler"":25,""factor_heads"":16,""procedure"":42,""semantic_core"":30,""text_meta"":144,""vl_meta"":144}",,,,draw,44,B36_component
,C600,0.13704093647023988,native_joint_vjp_minus_main_vjp,0.050644468516111374,3,,,,17,,0.3181541998088422,2.3283064365386963e-10,0.27048872225093257,0.08166851209742682,67,,,"{""action_meta"":144,""compiler"":25,""factor_heads"":16,""procedure"":42,""semantic_core"":30,""text_meta"":144,""vl_meta"":144}",,,,draw,24,B36_component
,C600,0.15539659536418157,native_joint_vjp_minus_main_vjp,0.07923091948032379,4,,,,62,,0.17175709760580674,2.3283064365386963e-10,0.08902383855470686,0.09655231982469559,67,,,"{""action_meta"":144,""compiler"":25,""factor_heads"":16,""procedure"":42,""semantic_core"":30,""text_meta"":144,""vl_meta"":144}",,,,draw,13,B36_component
,C600,0.5105682097035591,native_joint_vjp_minus_main_vjp,0.12569943070411682,4,,,,22,,0.530257326131783,2.3283064365386963e-10,0.21320803664234267,0.1214861429872967,67,,,"{""action_meta"":144,""compiler"":25,""factor_heads"":16,""procedure"":42,""semantic_core"":30,""text_meta"":144,""vl_meta"":144}",,,,draw,24,B36_component
,C600,0.04254399594469362,native_joint_vjp_minus_main_vjp,0.02294064126908779,4,,,,43,,0.08628319915201915,2.3283064365386963e-10,0.060694610137378986,0.07529307387414433,67,,,"{""action_meta"":144,""compiler"":25,""factor_heads"":16,""procedure"":42,""semantic_core"":30,""text_meta"":144,""vl_meta"":144}",,,,draw,12,B36_component
,C600,0.3082615593095785,native_joint_vjp_minus_main_vjp,0.10513952374458313,4,,,,0,,0.5698606800193147,2.3283064365386963e-10,0.3919652821936857,0.17294442085992723,67,,,"{""action_meta"":144,""compiler"":25,""factor_heads"":16,""procedure"":42,""semantic_core"":30,""text_meta"":144,""vl_meta"":144}",,,,draw,16,B36_component
,C600,0.08935504084561324,native_joint_vjp_minus_main_vjp,0.017855916172266006,5,,,,36,,0.28430346584794597,2.3283064365386963e-10,0.2661952945246676,0.11664005475384848,67,,,"{""action_meta"":144,""compiler"":25,""factor_heads"":16,""procedure"":42,""semantic_core"":30,""text_meta"":144,""vl_meta"":144}",,,,draw,31,B36_component
