asset,auxiliary_loss,candidate,displacement_action_meta,displacement_compiler,displacement_factor_heads,displacement_procedure,displacement_semantic_core,displacement_text_meta,displacement_vl_meta,draw_count,lr,main_loss,parameter_displacement_norm,preclip_grad_norm,q_parameter_displacement_norm,scale_alpha,window
C600,0.0474138637073338,J,0.041145215625309844,0.06180667887405902,0.07298412505646863,0.10666410091025935,0.08392611028371685,0.04502581289858526,0.054943225577749326,4,0.0002992056748283996,0.09485430217214993,0.18522035824111505,0.1448172777891159,,,B4
C600,0.0474138637073338,Q,0.04096047923725124,0.05883158685291209,0.070502315026225,0.10576817583191385,0.08158889714609417,0.043993409040330486,0.05385606052712246,4,0.0002992056748283996,0.09485430217214993,0.18107745123524238,0.09817478060722351,,,B4
C600,0.0474138637073338,M,0.04022490141827407,0.060424218507406084,0.0713516546544565,0.1042782952967378,0.08204889538735398,0.04401869911468111,0.05371428358910033,4,0.0002992056748283996,0.09485430217214993,0.18522035824111505,0.1448172777891159,0.18107745123524238,0.9776325505186664,B4
C600,0.0474138637073338,Z,0.0387535844536027,0.05977070219198022,0.06722701140122056,0.10078641341903417,0.08307169101718065,0.043018760150137586,0.05339770913509943,4,0.0002992056748283996,0.09485430217214993,0.17707225715657124,0.0,,,B4
C600,0.05822220605073704,J,0.03920847480570468,0.05889926902280386,0.07003828723142248,0.10037092862041772,0.08142771713337844,0.042930450114729,0.05291730930921553,36,0.0002992056748283996,0.10242430893852122,0.17680455782467924,0.057273365557193756,,,B36
C600,0.05822220605073704,Q,0.038666002483425346,0.05887016328742595,0.06920122749985308,0.10027417398783743,0.08175991413730985,0.04219812871671177,0.052275509848433994,36,0.0002992056748283996,0.10242430893852122,0.17607546758936105,0.042563531547784805,,,B36
C600,0.05822220605073704,M,0.03904679218453529,0.058656386767901324,0.069749470922387,0.09995703158664888,0.08109193672039074,0.04275341851309209,0.052699095258952465,36,0.0002992056748283996,0.10242430893852122,0.17680455782467924,0.057273365557193756,0.17607546758936105,0.9958762927591427,B36
C600,0.05822220605073704,Z,0.0387535844536027,0.05977070219198022,0.06722701140122056,0.10078641341903417,0.08307169101718065,0.043018760150137586,0.05339770913509943,36,0.0002992056748283996,0.10242430893852122,0.17707225715657124,0.0,,,B36
O1200,0.05238110898062587,J,0.029198632895991852,0.047204784619301256,0.04630893668012049,0.07082879619235397,0.07133992786550078,0.04070526487631574,0.046218472741818936,4,0.0001627965011517147,0.09321006147989204,0.13829149995405748,0.13833732903003693,,,B4
O1200,0.05238110898062587,Q,0.02404235772069912,0.04397890104101847,0.04432177881262655,0.06184361620343979,0.06705137098297327,0.036412167051381006,0.044338695351817954,4,0.0001627965011517147,0.09321006147989204,0.1268419639131893,0.09271979331970215,,,B4
O1200,0.05238110898062587,M,0.026781196647960435,0.04329657079362117,0.04247489201777681,0.06496468537440006,0.06543349841192492,0.03733516368621093,0.042391917306571804,4,0.0001627965011517147,0.09321006147989204,0.13829149995405748,0.13833732903003693,0.1268419639131893,0.9172072322256112,B4
O1200,0.05238110898062587,Z,0.01793884716111437,0.0391585750273549,0.04210475706836592,0.049056535996960166,0.05425004910360508,0.01871728481488452,0.029487401376407603,4,0.0001627965011517147,0.09321006147989204,0.10098248336205837,0.0,,,B4
O1200,0.06182298278953466,J,0.01778029409651951,0.04103750226766866,0.04363787719744395,0.04904939139139669,0.05808426779758809,0.04439618023158587,0.03318956382255902,36,0.0001627965011517147,0.10424697616201622,0.11294544127215742,0.08669482171535492,,,B36
O1200,0.06182298278953466,Q,0.017276537752874726,0.040466700575584845,0.04332430371879824,0.047201160339393596,0.0563882534356186,0.041878660641154315,0.03141694993849362,36,0.0001627965011517147,0.10424697616201622,0.10936845764825752,0.06901603937149048,,,B36
O1200,0.06182298278953466,M,0.017217191485383896,0.039737844584274894,0.04225586450932271,0.04749599657265642,0.05624473714604094,0.04299015196342163,0.032138449046944836,36,0.0001627965011517147,0.10424697616201622,0.11294544127215742,0.08669482171535492,0.10936845764825752,0.9683299867297817,B36
O1200,0.06182298278953466,Z,0.01793884716111437,0.0391585750273549,0.04210475706836592,0.049056535996960166,0.05425004910360508,0.01871728481488452,0.029487401376407603,36,0.0001627965011517147,0.10424697616201622,0.10098248336205837,0.0,,,B36
